label,message
ham,Happy birthday! Wishing you a wonderful year ahead.
ham,Thank you for attending today's workshop.
ham,Thank you for attending today's workshop.
spam,Exclusive deal on smartwatch. Hurry before stock runs out.
spam,You have received a bonus reward of $614.
ham,The server maintenance is completed successfully.
spam,Congratulations! You have won a $6647 gift card. Click here to claim now.
spam,You have received a bonus reward of $6665.
spam,Exclusive deal on laptop. Hurry before stock runs out.
spam,Exclusive deal on camera. Hurry before stock runs out.
spam,Congratulations! You have won a $5335 gift card. Click here to claim now.
spam,You are selected for a free vacation to Dubai. Call now.
spam,You are selected for a free vacation to Dubai. Call now.
spam,Limited time offer! Buy headphones at 90% discount today.
spam,Get instant approval for your loan up to $2278.
ham,Can you review the latest sales report?
spam,URGENT: Your bank account has been suspended. Verify immediately.
spam,Limited time offer! Buy laptop at 90% discount today.
spam,You have received a bonus reward of $9162.
spam,Exclusive deal on camera. Hurry before stock runs out.
spam,Limited time offer! Buy laptop at 90% discount today.
ham,Lunch meeting has been moved to 1 PM.
ham,Lunch meeting has been moved to 1 PM.
spam,Get instant approval for your loan up to $3954.
ham,The server maintenance is completed successfully.
spam,You are selected for a free vacation to Maldives. Call now.
ham,Your interview is scheduled for next Monday.
ham,Let's schedule a meeting tomorrow at 10 AM.
ham,"Hi team, please find the project update attached."
ham,"Hi team, please find the project update attached."
spam,Earn $4244 daily working from home. Register today.
ham,Lunch meeting has been moved to 1 PM.
spam,Limited time offer! Buy laptop at 90% discount today.
spam,Earn $4445 daily working from home. Register today.
ham,Your interview is scheduled for next Monday.
spam,URGENT: Your bank account has been suspended. Verify immediately.
ham,The server maintenance is completed successfully.
ham,Thank you for attending today's workshop.
spam,Claim your free smartphone by completing this survey.
ham,Thank you for attending today's workshop.
ham,Lunch meeting has been moved to 1 PM.
spam,Exclusive deal on headphones. Hurry before stock runs out.
ham,The server maintenance is completed successfully.
spam,Earn $6489 daily working from home. Register today.
ham,The server maintenance is completed successfully.
ham,Can you review the latest sales report?
ham,Can you review the latest sales report?
spam,Limited time offer! Buy headphones at 90% discount today.
ham,Please update the documentation for the client.
ham,Let's schedule a meeting tomorrow at 10 AM.
spam,Claim your free smartphone by completing this survey.
spam,Cheap medicines available online without prescription.
spam,Limited time offer! Buy smartwatch at 90% discount today.
spam,Get instant approval for your loan up to $7103.
ham,The server maintenance is completed successfully.
ham,Reminder: submit your assignment before Friday.
spam,You have received a bonus reward of $5181.
spam,Limited time offer! Buy smartwatch at 90% discount today.
spam,Get instant approval for your loan up to $1030.
spam,Congratulations! You have won a $7724 gift card. Click here to claim now.
ham,Please update the documentation for the client.
spam,Earn $6333 daily working from home. Register today.
ham,Thank you for attending today's workshop.
ham,"Hi team, please find the project update attached."
ham,Reminder: submit your assignment before Friday.
spam,You are selected for a free vacation to Maldives. Call now.
spam,You are selected for a free vacation to Maldives. Call now.
ham,Lunch meeting has been moved to 1 PM.
ham,Happy birthday! Wishing you a wonderful year ahead.
spam,Limited time offer! Buy mobile at 90% discount today.
ham,Can you review the latest sales report?
ham,Happy birthday! Wishing you a wonderful year ahead.
ham,"Hi team, please find the project update attached."
ham,Thank you for attending today's workshop.
ham,Your interview is scheduled for next Monday.
spam,Limited time offer! Buy headphones at 90% discount today.
ham,Let's schedule a meeting tomorrow at 10 AM.
spam,URGENT: Your bank account has been suspended. Verify immediately.
ham,Can you review the latest sales report?
ham,Let's schedule a meeting tomorrow at 10 AM.
ham,Let's schedule a meeting tomorrow at 10 AM.
spam,Claim your free smartphone by completing this survey.
ham,"Hi team, please find the project update attached."
ham,Reminder: submit your assignment before Friday.
ham,The server maintenance is completed successfully.
spam,You have received a bonus reward of $9113.
spam,URGENT: Your bank account has been suspended. Verify immediately.
ham,Can you review the latest sales report?
spam,Claim your free smartphone by completing this survey.
ham,"Hi team, please find the project update attached."
ham,Please update the documentation for the client.
ham,Lunch meeting has been moved to 1 PM.
spam,Exclusive deal on camera. Hurry before stock runs out.
spam,Cheap medicines available online without prescription.
spam,Limited time offer! Buy smartwatch at 90% discount today.
spam,Earn $5440 daily working from home. Register today.
ham,Your interview is scheduled for next Monday.
spam,Exclusive deal on camera. Hurry before stock runs out.
ham,Your interview is scheduled for next Monday.
ham,The server maintenance is completed successfully.
spam,Get instant approval for your loan up to $9230.
ham,Can you review the latest sales report?
ham,"Hi team, please find the project update attached."
spam,URGENT: Your bank account has been suspended. Verify immediately.
spam,You have received a bonus reward of $3009.
spam,URGENT: Your bank account has been suspended. Verify immediately.
spam,Earn $1173 daily working from home. Register today.
ham,The server maintenance is completed successfully.
ham,Can you review the latest sales report?
ham,Happy birthday! Wishing you a wonderful year ahead.
spam,Congratulations! You have won a $299 gift card. Click here to claim now.
ham,Can you review the latest sales report?
spam,Earn $2446 daily working from home. Register today.
spam,Cheap medicines available online without prescription.
spam,Get instant approval for your loan up to $7332.
ham,Reminder: submit your assignment before Friday.
ham,Thank you for attending today's workshop.
spam,Limited time offer! Buy smartwatch at 90% discount today.
ham,Lunch meeting has been moved to 1 PM.
spam,Claim your free smartphone by completing this survey.
ham,"Hi team, please find the project update attached."
ham,Reminder: submit your assignment before Friday.
ham,Your interview is scheduled for next Monday.
spam,URGENT: Your bank account has been suspended. Verify immediately.
spam,You are selected for a free vacation to Singapore. Call now.
spam,Get instant approval for your loan up to $5686.
ham,Can you review the latest sales report?
spam,Exclusive deal on laptop. Hurry before stock runs out.
ham,Please update the documentation for the client.
ham,Let's schedule a meeting tomorrow at 10 AM.
spam,Congratulations! You have won a $4557 gift card. Click here to claim now.
spam,Cheap medicines available online without prescription.
ham,Can you review the latest sales report?
ham,Thank you for attending today's workshop.
ham,Let's schedule a meeting tomorrow at 10 AM.
ham,Let's schedule a meeting tomorrow at 10 AM.
ham,Happy birthday! Wishing you a wonderful year ahead.
ham,Thank you for attending today's workshop.
ham,Lunch meeting has been moved to 1 PM.
spam,Cheap medicines available online without prescription.
spam,Limited time offer! Buy mobile at 90% discount today.
ham,Lunch meeting has been moved to 1 PM.
spam,Exclusive deal on laptop. Hurry before stock runs out.
ham,Reminder: submit your assignment before Friday.
spam,You are selected for a free vacation to Dubai. Call now.
spam,You have received a bonus reward of $5467.
spam,Limited time offer! Buy headphones at 90% discount today.
spam,Congratulations! You have won a $7862 gift card. Click here to claim now.
ham,Lunch meeting has been moved to 1 PM.
spam,Claim your free smartphone by completing this survey.
ham,Happy birthday! Wishing you a wonderful year ahead.
ham,Let's schedule a meeting tomorrow at 10 AM.
spam,Claim your free smartphone by completing this survey.
ham,Lunch meeting has been moved to 1 PM.
ham,Thank you for attending today's workshop.
spam,URGENT: Your bank account has been suspended. Verify immediately.
spam,You are selected for a free vacation to Maldives. Call now.
spam,Earn $6346 daily working from home. Register today.
ham,Can you review the latest sales report?
spam,URGENT: Your bank account has been suspended. Verify immediately.
ham,Reminder: submit your assignment before Friday.
spam,Earn $5455 daily working from home. Register today.
ham,Can you review the latest sales report?
ham,Can you review the latest sales report?
spam,You have received a bonus reward of $3581.
spam,Get instant approval for your loan up to $6804.
ham,"Hi team, please find the project update attached."
spam,Limited time offer! Buy camera at 90% discount today.
ham,"Hi team, please find the project update attached."
spam,Earn $5315 daily working from home. Register today.
spam,Limited time offer! Buy laptop at 90% discount today.
spam,Get instant approval for your loan up to $2799.
ham,Thank you for attending today's workshop.
ham,"Hi team, please find the project update attached."
spam,Limited time offer! Buy headphones at 90% discount today.
spam,You are selected for a free vacation to Maldives. Call now.
spam,URGENT: Your bank account has been suspended. Verify immediately.
spam,Get instant approval for your loan up to $3255.
ham,Reminder: submit your assignment before Friday.
ham,Thank you for attending today's workshop.
spam,You are selected for a free vacation to Maldives. Call now.
spam,Claim your free smartphone by completing this survey.
spam,Cheap medicines available online without prescription.
spam,Exclusive deal on smartwatch. Hurry before stock runs out.
spam,Get instant approval for your loan up to $2989.
spam,Get instant approval for your loan up to $6205.
ham,Your interview is scheduled for next Monday.
spam,You are selected for a free vacation to London. Call now.
ham,Happy birthday! Wishing you a wonderful year ahead.
spam,Exclusive deal on camera. Hurry before stock runs out.
spam,You are selected for a free vacation to Paris. Call now.
spam,You are selected for a free vacation to London. Call now.
spam,Claim your free smartphone by completing this survey.
spam,URGENT: Your bank account has been suspended. Verify immediately.
ham,Can you review the latest sales report?
spam,Cheap medicines available online without prescription.
spam,You have received a bonus reward of $9572.
ham,Happy birthday! Wishing you a wonderful year ahead.
ham,Lunch meeting has been moved to 1 PM.
spam,Congratulations! You have won a $6223 gift card. Click here to claim now.
spam,Claim your free smartphone by completing this survey.
ham,"Hi team, please find the project update attached."
ham,Reminder: submit your assignment before Friday.
spam,Claim your free smartphone by completing this survey.
ham,Thank you for attending today's workshop.
spam,You are selected for a free vacation to Maldives. Call now.
spam,You are selected for a free vacation to Singapore. Call now.
ham,Let's schedule a meeting tomorrow at 10 AM.
spam,Exclusive deal on camera. Hurry before stock runs out.
ham,The server maintenance is completed successfully.
ham,Happy birthday! Wishing you a wonderful year ahead.
ham,Happy birthday! Wishing you a wonderful year ahead.
spam,Exclusive deal on smartwatch. Hurry before stock runs out.
spam,Limited time offer! Buy laptop at 90% discount today.
ham,Reminder: submit your assignment before Friday.
spam,You have received a bonus reward of $5161.
ham,Lunch meeting has been moved to 1 PM.
ham,Lunch meeting has been moved to 1 PM.
ham,Let's schedule a meeting tomorrow at 10 AM.
ham,Can you review the latest sales report?
spam,Claim your free smartphone by completing this survey.
spam,Cheap medicines available online without prescription.
ham,Please update the documentation for the client.
ham,"Hi team, please find the project update attached."
ham,The server maintenance is completed successfully.
ham,Lunch meeting has been moved to 1 PM.
spam,Earn $2041 daily working from home. Register today.
ham,Reminder: submit your assignment before Friday.
spam,Congratulations! You have won a $7753 gift card. Click here to claim now.
spam,Claim your free smartphone by completing this survey.
spam,Earn $1138 daily working from home. Register today.
spam,Earn $5313 daily working from home. Register today.
ham,Happy birthday! Wishing you a wonderful year ahead.
spam,Congratulations! You have won a $8529 gift card. Click here to claim now.
ham,Let's schedule a meeting tomorrow at 10 AM.
spam,URGENT: Your bank account has been suspended. Verify immediately.
ham,The server maintenance is completed successfully.
ham,The server maintenance is completed successfully.
ham,Can you review the latest sales report?
spam,URGENT: Your bank account has been suspended. Verify immediately.
ham,"Hi team, please find the project update attached."
ham,Can you review the latest sales report?
ham,Your interview is scheduled for next Monday.
spam,Earn $5633 daily working from home. Register today.
spam,Exclusive deal on headphones. Hurry before stock runs out.
spam,Limited time offer! Buy mobile at 90% discount today.
spam,Congratulations! You have won a $9098 gift card. Click here to claim now.
ham,Thank you for attending today's workshop.
ham,Your interview is scheduled for next Monday.
spam,Cheap medicines available online without prescription.
ham,Please update the documentation for the client.
spam,Congratulations! You have won a $6939 gift card. Click here to claim now.
ham,Happy birthday! Wishing you a wonderful year ahead.
ham,The server maintenance is completed successfully.
ham,The server maintenance is completed successfully.
spam,Claim your free smartphone by completing this survey.
spam,Congratulations! You have won a $7190 gift card. Click here to claim now.
spam,Cheap medicines available online without prescription.
ham,"Hi team, please find the project update attached."
ham,"Hi team, please find the project update attached."
spam,Claim your free smartphone by completing this survey.
spam,Claim your free smartphone by completing this survey.
ham,Thank you for attending today's workshop.
spam,Limited time offer! Buy headphones at 90% discount today.
ham,Can you review the latest sales report?
spam,Claim your free smartphone by completing this survey.
spam,Exclusive deal on smartwatch. Hurry before stock runs out.
ham,Can you review the latest sales report?
ham,Your interview is scheduled for next Monday.
ham,Your interview is scheduled for next Monday.
ham,Can you review the latest sales report?
spam,Limited time offer! Buy mobile at 90% discount today.
ham,Reminder: submit your assignment before Friday.
spam,URGENT: Your bank account has been suspended. Verify immediately.
spam,You are selected for a free vacation to Dubai. Call now.
ham,Let's schedule a meeting tomorrow at 10 AM.
spam,URGENT: Your bank account has been suspended. Verify immediately.
ham,Can you review the latest sales report?
spam,Get instant approval for your loan up to $5465.
ham,Reminder: submit your assignment before Friday.
spam,Congratulations! You have won a $8645 gift card. Click here to claim now.
spam,Limited time offer! Buy smartwatch at 90% discount today.
spam,You have received a bonus reward of $7155.
spam,Claim your free smartphone by completing this survey.
ham,Lunch meeting has been moved to 1 PM.
spam,Exclusive deal on laptop. Hurry before stock runs out.
ham,Can you review the latest sales report?
spam,Claim your free smartphone by completing this survey.
ham,Lunch meeting has been moved to 1 PM.
spam,Get instant approval for your loan up to $3862.
spam,Exclusive deal on camera. Hurry before stock runs out.
ham,"Hi team, please find the project update attached."
spam,URGENT: Your bank account has been suspended. Verify immediately.
ham,Reminder: submit your assignment before Friday.
ham,Thank you for attending today's workshop.
spam,Limited time offer! Buy mobile at 90% discount today.
ham,Your interview is scheduled for next Monday.
ham,Reminder: submit your assignment before Friday.
spam,Claim your free smartphone by completing this survey.
spam,URGENT: Your bank account has been suspended. Verify immediately.
spam,Cheap medicines available online without prescription.
spam,Exclusive deal on camera. Hurry before stock runs out.
ham,Let's schedule a meeting tomorrow at 10 AM.
spam,Claim your free smartphone by completing this survey.
ham,Can you review the latest sales report?
ham,Thank you for attending today's workshop.
ham,Thank you for attending today's workshop.
spam,Congratulations! You have won a $4435 gift card. Click here to claim now.
spam,You have received a bonus reward of $4324.
spam,Earn $6804 daily working from home. Register today.
spam,You have received a bonus reward of $2320.
ham,Let's schedule a meeting tomorrow at 10 AM.
ham,Thank you for attending today's workshop.
spam,Cheap medicines available online without prescription.
spam,Get instant approval for your loan up to $6280.
spam,Congratulations! You have won a $9094 gift card. Click here to claim now.
spam,You have received a bonus reward of $649.
spam,Congratulations! You have won a $8748 gift card. Click here to claim now.
ham,Happy birthday! Wishing you a wonderful year ahead.
ham,Reminder: submit your assignment before Friday.
ham,Your interview is scheduled for next Monday.
spam,Exclusive deal on mobile. Hurry before stock runs out.
spam,You have received a bonus reward of $7582.
ham,Thank you for attending today's workshop.
ham,Reminder: submit your assignment before Friday.
spam,Limited time offer! Buy laptop at 90% discount today.
ham,The server maintenance is completed successfully.
ham,Thank you for attending today's workshop.
spam,Earn $5615 daily working from home. Register today.
spam,Get instant approval for your loan up to $2106.
ham,Your interview is scheduled for next Monday.
spam,You have received a bonus reward of $4626.
ham,The server maintenance is completed successfully.
spam,Limited time offer! Buy headphones at 90% discount today.
ham,Can you review the latest sales report?
spam,Claim your free smartphone by completing this survey.
ham,The server maintenance is completed successfully.
ham,"Hi team, please find the project update attached."
ham,Happy birthday! Wishing you a wonderful year ahead.
ham,Reminder: submit your assignment before Friday.
ham,Your interview is scheduled for next Monday.
ham,"Hi team, please find the project update attached."
spam,Cheap medicines available online without prescription.
spam,Claim your free smartphone by completing this survey.
spam,Congratulations! You have won a $9266 gift card. Click here to claim now.
ham,Let's schedule a meeting tomorrow at 10 AM.
spam,You have received a bonus reward of $3534.
ham,Let's schedule a meeting tomorrow at 10 AM.
ham,Happy birthday! Wishing you a wonderful year ahead.
ham,Happy birthday! Wishing you a wonderful year ahead.
ham,Happy birthday! Wishing you a wonderful year ahead.
ham,"Hi team, please find the project update attached."
spam,Get instant approval for your loan up to $2144.
ham,Reminder: submit your assignment before Friday.
ham,Happy birthday! Wishing you a wonderful year ahead.
ham,Can you review the latest sales report?
ham,Let's schedule a meeting tomorrow at 10 AM.
ham,Lunch meeting has been moved to 1 PM.
ham,Please update the documentation for the client.
ham,Happy birthday! Wishing you a wonderful year ahead.
spam,You are selected for a free vacation to Maldives. Call now.
ham,Reminder: submit your assignment before Friday.
ham,The server maintenance is completed successfully.
ham,Please update the documentation for the client.
ham,Lunch meeting has been moved to 1 PM.
spam,Cheap medicines available online without prescription.
spam,You have received a bonus reward of $2924.
ham,Let's schedule a meeting tomorrow at 10 AM.
spam,Cheap medicines available online without prescription.
spam,Claim your free smartphone by completing this survey.
ham,The server maintenance is completed successfully.
ham,Your interview is scheduled for next Monday.
spam,You have received a bonus reward of $8739.
ham,Can you review the latest sales report?
spam,Limited time offer! Buy laptop at 90% discount today.
ham,Happy birthday! Wishing you a wonderful year ahead.
spam,Cheap medicines available online without prescription.
spam,Claim your free smartphone by completing this survey.
ham,Let's schedule a meeting tomorrow at 10 AM.
spam,Exclusive deal on mobile. Hurry before stock runs out.
ham,Reminder: submit your assignment before Friday.
spam,Congratulations! You have won a $7611 gift card. Click here to claim now.
spam,Get instant approval for your loan up to $8516.
spam,URGENT: Your bank account has been suspended. Verify immediately.
ham,The server maintenance is completed successfully.
ham,Can you review the latest sales report?
ham,The server maintenance is completed successfully.
ham,Please update the documentation for the client.
spam,Cheap medicines available online without prescription.
spam,Limited time offer! Buy laptop at 90% discount today.
ham,Please update the documentation for the client.
spam,You have received a bonus reward of $543.
spam,Earn $1361 daily working from home. Register today.
ham,"Hi team, please find the project update attached."
spam,Exclusive deal on headphones. Hurry before stock runs out.
spam,You are selected for a free vacation to Dubai. Call now.
spam,Exclusive deal on laptop. Hurry before stock runs out.
ham,Reminder: submit your assignment before Friday.
ham,Let's schedule a meeting tomorrow at 10 AM.
spam,Limited time offer! Buy headphones at 90% discount today.
